Umur,Kelas Pekerja,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,target
21,Wiraswasta,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,35.0,0
49,Wiraswasta,10th,6,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,0
44,Wiraswasta,D3,12,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,45.0,1
24,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,35.0,0
33,Wiraswasta,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,1
31,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,0
32,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,34.0,0
20,Wiraswasta,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
23,,Pendidikan Tinggi,10,Belum Pernah Menikah,,Laki2,0.0,0.0,40.0,0
43,Wiraswasta,SMA,9,Cerai,Sales,Perempuan,0.0,0.0,46.0,0
31,Wiraswasta,SMA,9,Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
28,Pemerintah Lokal,D3,12,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
45,Wiraswasta,1st-4th,2,Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,0
44,Pemerintah Lokal,D3,12,Menikah,Spesialis,Laki2,0.0,0.0,48.0,0
52,Pekerja Bebas Perusahaan,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,0
27,Wiraswasta,SMA,9,Menikah,Petani,Laki2,0.0,0.0,40.0,1
26,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Tech-support,Laki2,0.0,0.0,40.0,0
56,Wiraswasta,10th,6,Cerai,Servis Lainnya,Perempuan,0.0,0.0,45.0,0
59,Wiraswasta,1st-4th,2,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
41,Wiraswasta,SMA,9,Cerai,Supir,Laki2,0.0,0.0,45.0,0
51,Wiraswasta,SMA,9,Cerai,Servis Lainnya,Perempuan,0.0,0.0,38.0,0
68,Wiraswasta,SMA,9,Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,0
64,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
21,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,26.0,0
37,Pemerintah Negara,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,1
67,Wiraswasta,SMA,9,Janda,Pembersih,Laki2,0.0,0.0,32.0,0
34,Wiraswasta,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
42,,Sarjana,13,Cerai,,Perempuan,0.0,0.0,26.0,0
44,Pekerja Bebas Bukan Perusahan,SMA,9,Menikah,Petani,Laki2,0.0,0.0,58.0,0
24,Wiraswasta,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
25,Wiraswasta,D3,12,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,1
24,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
50,Wiraswasta,Master,14,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,48.0,1
